SAMPLE_ID,APOC1,CCL19,CCND1,CD163,EIF4B,FASN,FOLR2,FOXO3,HIF1A,IDO1,IGF1R,INSR,IRS2,LAMP3,LGMN,MS4A4A,MYC,PIK3R1,PRKAB1,RBPJ,RPS6,SEPP1,SLC22A1,SLC22A3,SLC47A1,TREM2,TSC2,ULK1
40209,5.18528568416101,-2.41611370637082,5.72446047133908,7.29342967297193,7.5549507856327,6.28501944847715,3.16282500672256,6.08452902969198,7.64016272531449,8.53356712289356,4.75046785199712,5.0140600367054,2.77239272081321,6.08027407349171,6.6171257345021,3.89737402571589,6.23613375366304,5.27271939212228,4.19761437857694,6.20910806881566,10.4754295276343,9.20248592048211,-0.25691511152157,-0.0941856114834618,2.00342518514296,4.38521742805901,6.40300092914925,3.79982369282832
40211,4.41389780823368,-4.45461611566179,7.38922644083461,4.56941538585496,8.82240969235398,6.99153670634751,1.05000427674177,6.85588306349043,8.92733233373343,5.20323822015394,6.34903069842154,6.46200980654945,4.39525807813383,3.17328250020996,5.73347814826462,1.9342622231502,6.08860908238891,5.86075991155705,5.59822360354368,6.77480357256863,11.0048475226628,7.47249514951423,-2.52861669710556,0.845507608907228,-0.176631368362021,3.65076863358582,6.55311199897047,4.69868256719312
323T,4.80831743816696,-2.96414269344446,7.05651049271709,5.70640942380047,8.55939043609692,6.05413931951274,2.07509893814839,7.24552568423798,7.95905368754079,6.02437492772149,8.70830864841964,7.04995984843752,4.76417800943339,6.19468971882154,6.1518954176666,2.67801520885824,5.68162168315676,7.69842097202507,4.60794446218507,6.72760082572681,10.2166166191068,7.61478492331779,-0.42224891461519,-0.393394051943005,-1.21871552053006,3.13202984677842,6.80316547115385,5.553642466871
914T,6.38167255639745,-1.28715023871686,8.97434676069711,7.61016450250894,8.88643923972249,7.94810821977627,2.57866441388874,6.46855727607769,7.73701738628576,5.07502431083921,6.77562969142234,6.74964997243096,4.28243891933336,3.9561072751409,7.51822594891878,4.55899993351146,7.55564117782023,6.30871247210144,5.28802406703307,7.2333133661438,9.38525959432365,8.74508886924949,-1.44761491091011,-7.12004025288161,2.40548055621346,4.62100532412823,6.4643350942598,5.15171455276487
GL4226,4.06972047277957,-2.87526123288886,6.24053537178665,7.37422652451629,7.97051765828375,6.49599955934019,3.75562853828178,6.0655546214166,8.20011235483468,3.8433167055733,6.92980376387072,6.09340556030635,5.92751019809758,3.91229770495971,6.95987499838356,3.84042987111153,6.08641692281112,6.87584232207759,4.35305115999141,6.86629445559605,9.29322945669923,7.90501950740408,-0.748149314985519,-2.87526123288886,1.52426968012248,3.13065873865496,6.22263228261818,4.53546904579364
GL5113,6.26204073653093,0.60931301291265,4.66307399254018,5.25640153049406,7.42255477804717,4.60170874619005,3.88604620532473,4.23526077775833,6.89108058335749,4.16819858683972,4.38649918218489,4.35065398323817,4.76644741391544,2.49355486957597,6.59682939649955,4.29934363076955,5.6471550004714,5.41136124266367,3.75811030353261,5.90230112183869,12.5008092839133,9.91792848455563,-1.27417297836093,0.171626774688606,1.97113383492353,4.76795808948896,4.92109315242393,4.01632260868978
JB 5705,1.92326241843571,-6.61201295818509,8.28540711228265,3.98137816460665,8.26003661874229,7.30992093304947,0.587659386651274,6.95772400258291,7.47321051004935,2.30386642065068,8.67782582870949,6.63160733466215,4.8032006405802,2.40200751212984,5.8599162294566,0.950229466035983,7.95100451556313,5.95807991600296,4.39711583135417,6.88021579106713,10.4597740915361,5.60139508267325,-0.0121001159979624,-2.3640854447415,-1.56761883882664,2.60957416307971,7.79146514894242,4.65886633714369
JB 5727,2.94558582847707,-4.47900039777403,3.88644719077607,5.28221837815535,8.36040025121438,8.28450247101285,1.9506155664277,4.76083677096631,8.37216301544609,2.98534113498707,4.81791580910526,5.66744099444813,3.2611176450591,2.28387989514297,6.03215924576062,2.03512186239668,7.80876968842293,6.52788665870718,5.08667293184731,7.336623060353,11.1253732940171,7.20390642806579,-1.3746637379593,-0.823648569161477,1.36397843401429,2.97550453978334,6.14871586392432,4.72116257622567
JB 5768,5.08777958077882,1.56105312456975,5.00984731222479,6.58409336596781,8.53327386843473,6.46356527966769,3.83557835022632,5.99845843687704,7.72021093709674,3.69213925048678,5.97084403953197,4.80565321073657,4.47923373339749,5.49425694811972,6.77234331570805,4.11904857769063,7.35384889525169,6.11925478008374,4.69601523258643,6.88916135129535,10.5791268233022,7.99413621439048,-1.52398297928605,1.21092014842326,2.37187356604749,4.32043137007433,5.95383309786253,4.58454147749211
JB4234,5.83567706103672,-2.15693451621919,3.79188194315703,5.31942224378732,7.11829463923365,3.35451406018572,3.66422620536345,4.17191299260796,6.98791978491848,1.56047828052562,3.87224650919276,3.81328201475816,3.65240076996666,1.5435052019219,4.69433402726041,3.3786399575398,4.83872393659558,7.02851275733718,3.66814657473479,5.67741497711999,12.2767261511029,7.76867697987398,-0.571972015498033,-0.129453779797082,0.446406513816821,5.9519919734558,4.47017840972096,2.85343219933907
